observer,luminance_cd_m2,color_direction,num_trials,threshold,threshold_ci_low,threshold_ci_high,threshold_ppd,threshold_ppd_ci_low,threshold_ppd_ci_high
Obs001,100,-1,60,-4.01157050227724,-4.20018990000376,-3.74086102585211,129.113984353203,104.699526748773,148.196099925175
Obs001,100,1,63,-3.68416339823976,-3.76724472470621,-3.56973453527664,100.010741302447,90.9782875813461,106.930474965507
Obs002,100,-1,60,-3.60747345047315,-3.70707393673776,-3.51428794191689,93.8943427567921,86.8044566154918,101.888164772505
Obs002,100,1,72,-3.33092057903609,-3.47091830836905,-3.24317283885854,73.9133401871661,68.2244869237504,83.630207114297
Obs003,100,-1,60,-3.15738600914051,-3.28796611662972,-3.0324198479802,62.9525079142165,55.7696587782444,71.0905698993376
Obs003,100,1,72,-3.99298789170454,-4.10590725263667,-3.77297537599194,127.328016985976,107.419198633042,138.438664345798
Obs004,100,-1,60,-3.14143437440346,-3.26189351737784,-3.04300125747358,62.0031809150921,56.3555108781215,69.4127634158678
Obs004,100,1,66,-3.40578631488738,-3.51806283460012,-3.32845343434432,79.0100222094323,73.749223510675,87.0844817155557
Obs005,100,-1,72,-3.66356781891916,-3.77229628253992,-3.53354025450391,98.3428300776399,88.2389080902825,107.361206302189
Obs005,100,1,63,-3.74769703154096,-3.9752562204747,-3.5891022419895,105.274556344274,92.4671529890441,125.639260977589
Obs006,100,-1,66,-3.63670415446412,-3.72334785698045,-3.51061564786866,96.19531335746,86.5326190425165,103.235920145103
Obs006,100,1,60,-3.67935831376701,-3.8058632932507,-3.58165320400458,99.6199332613098,91.8926114584954,110.252779953516
Obs007,100,-1,87,-3.63001272144419,-3.72191474008886,-3.54117978125303,95.6652997787127,88.8124648473988,103.116759479758
Obs007,100,1,69,-3.50309354595561,-3.61371662082867,-3.37007750703719,85.9775766575062,76.5507875594934,94.3826735439216
Obs008,100,-1,66,-3.45035046599101,-3.57308491705113,-3.34826847691361,82.1522810713411,75.0742181458561,91.2346916626629
Obs008,100,1,64,-3.63198729735807,-3.74571828611093,-3.52657455474639,95.8214985439022,87.71809765429,105.107892727777
Obs009,100,-1,102,-3.70993109387318,-3.80216674255192,NaN,102.12393152077,NaN,109.931833635874
Obs009,100,1,60,-3.84140013811639,-4.08386101341769,-3.65061550930281,113.370128432454,97.3034590334384,136.220620891407
Obs010,100,-1,60,-3.53537322181193,-3.70125794189608,-3.39714743646407,88.3762968869616,78.4103121439464,101.409362481001
Obs010,100,1,102,-3.12129448248017,-3.29510168872088,-3.00178129654436,60.818293434689,54.0962471390124,71.5544191763447
Obs011,100,-1,66,-3.2642016855333,NaN,-3.16366671530859,69.5602204627923,63.3289331263389,NaN
Obs011,100,1,60,-3.73239221971987,NaN,-3.59616372017744,103.990058384189,93.0140086562067,NaN
Obs012,100,-1,60,-3.46473701297904,-3.59114088540265,-3.35411858943535,83.1841957997709,75.4684163112115,92.6248091108013
Obs012,100,1,60,-3.57669332779083,NaN,-3.47822373438699,91.5113809895413,84.1593821452086,NaN
